id,time,feature
0,19-03-2019 00:00,237.97
1,19-03-2019 00:00,57.93
2,19-03-2019 00:00,90.53
3,19-03-2019 00:00,260.75
4,19-03-2019 00:00,49.7
5,19-03-2019 00:00,302.08
6,19-03-2019 00:01,152.25
7,19-03-2019 00:01,41.19
8,19-03-2019 00:01,34.61
9,19-03-2019 00:01,205.87
10,19-03-2019 00:01,166.23
11,19-03-2019 00:01,73.75
12,19-03-2019 00:02,282.46
13,19-03-2019 00:02,122.71
14,19-03-2019 00:02,32.04
15,19-03-2019 00:02,40.73
16,19-03-2019 00:02,55.06
17,19-03-2019 00:02,46.4
18,19-03-2019 00:03,54.46
19,19-03-2019 00:03,29.97
20,19-03-2019 00:03,40.43
21,19-03-2019 00:03,21.36
22,19-03-2019 00:03,46.59
23,19-03-2019 00:03,43.11
24,19-03-2019 00:04,55.62
25,19-03-2019 00:04,27.36
26,19-03-2019 00:04,50.94
27,19-03-2019 00:04,116.61
28,19-03-2019 00:04,91.8
29,19-03-2019 00:04,198.32
30,19-03-2019 00:05,326.76
31,19-03-2019 00:05,266.69
32,19-03-2019 00:05,205.95
33,19-03-2019 00:05,149.42
34,19-03-2019 00:05,233.22
35,19-03-2019 00:05,63.63
36,19-03-2019 00:06,89.77
37,19-03-2019 00:06,255.79
38,19-03-2019 00:06,161.08
39,19-03-2019 00:06,123.41
40,19-03-2019 00:06,239.69
41,19-03-2019 00:06,108.12
42,19-03-2019 00:07,94.31
43,19-03-2019 00:07,224.3
44,19-03-2019 00:07,184.75
45,19-03-2019 00:07,113.74
46,19-03-2019 00:07,146.06
47,19-03-2019 00:07,326.35
48,19-03-2019 00:08,126.81
49,19-03-2019 00:08,192
50,19-03-2019 00:08,187.7
51,19-03-2019 00:08,194.04
52,19-03-2019 00:08,293.84
53,19-03-2019 00:08,201.54
54,19-03-2019 00:09,123.67
55,19-03-2019 00:09,260.87
56,19-03-2019 00:09,28.26
57,19-03-2019 00:09,131.97
58,19-03-2019 00:09,76.73
59,19-03-2019 00:09,113.35
60,19-03-2019 00:10,67.01
61,19-03-2019 00:10,65.89
62,19-03-2019 00:10,88.47
63,19-03-2019 00:10,201.17
64,19-03-2019 00:10,110.79
65,19-03-2019 00:10,157.37
66,19-03-2019 00:11,199.37
67,19-03-2019 00:11,173.72
68,19-03-2019 00:11,188.69
69,19-03-2019 00:11,155.62
70,19-03-2019 00:11,156.46
71,19-03-2019 00:11,111.91
72,19-03-2019 00:12,153.83
73,19-03-2019 00:12,83.51
74,19-03-2019 00:12,401.43
75,19-03-2019 00:12,469.72
76,19-03-2019 00:12,406.79
77,19-03-2019 00:12,128.91
78,19-03-2019 00:13,85.28
79,19-03-2019 00:13,121.12
